C:\Users\siarr\AppData\Local\Temp\RenderDoc\terrain_sandbox_2026.09.09_15.42.27_frame2279.rdc - Frame #2279

 EID  | Event                                                                        | Action #
645   |     - Indirect sub-command[125](<6, 538>)                                    | 412   
646   |     - Indirect sub-command[126](<6, 616>)                                    | 413   
647   |     - Indirect sub-command[127](<6, 518>)                                    | 414   
648   |     - Indirect sub-command[128](<6, 286>)                                    | 415   
649   |     - Indirect sub-command[129](<6, 588>)                                    | 416   
650   |     - Indirect sub-command[130](<6, 586>)                                    | 417   
651   |     - Indirect sub-command[131](<6, 457>)                                    | 418   
652   |     - Indirect sub-command[132](<6, 283>)                                    | 419   
653   |     - Indirect sub-command[133](<6, 554>)                                    | 420   
654   |     - Indirect sub-command[134](<6, 643>)                                    | 421   
655   |     - Indirect sub-command[135](<6, 486>)                                    | 422   
656   |     - Indirect sub-command[136](<6, 299>)                                    | 423   
657   |     - Indirect sub-command[137](<6, 546>)                                    | 424   
658   |     - Indirect sub-command[138](<6, 619>)                                    | 425   
659   |     - Indirect sub-command[139](<6, 246>)                                    | 426   
660   |     - Indirect sub-command[140](<6, 575>)                                    | 427   
661   |     - Indirect sub-command[141](<6, 511>)                                    | 428   
662   |     - Indirect sub-command[142](<6, 627>)                                    | 429   
663   |     - Indirect sub-command[143](<6, 655>)                                    | 430   
664   |     - Indirect sub-command[144](<6, 615>)                                    | 431   
665   |     - Indirect sub-command[145](<6, 239>)                                    | 432   
666   |     - Indirect sub-command[146](<6, 440>)                                    | 433   
667   |     - Indirect sub-command[147](<6, 291>)                                    | 434   
668   |     - Indirect sub-command[148](<6, 596>)                                    | 435   
669   |     - Indirect sub-command[149](<6, 632>)                                    | 436   
670   |     - Indirect sub-command[150](<6, 589>)                                    | 437   
671   |     - Indirect sub-command[151](<6, 602>)                                    | 438   
672   |     - Indirect sub-command[152](<6, 453>)                                    | 439   
673   |     - Indirect sub-command[153](<6, 684>)                                    | 440   
674   |     - Indirect sub-command[154](<6, 218>)                                    | 441   
675   |     - Indirect sub-command[155](<6, 503>)                                    | 442   
676   |     - Indirect sub-command[156](<6, 629>)                                    | 443   
677   |     - Indirect sub-command[157](<6, 168>)                                    | 444   
678   |     - Indirect sub-command[158](<6, 483>)                                    | 445   
679   |     - Indirect sub-command[159](<6, 655>)                                    | 446   
680   |     - Indirect sub-command[160](<6, 251>)                                    | 447   
681   |     - Indirect sub-command[161](<6, 532>)                                    | 448   
682   |     - Indirect sub-command[162](<6, 685>)                                    | 449   
683   |     - Indirect sub-command[163](<6, 195>)                                    | 450   
684   |     - Indirect sub-command[164](<6, 623>)                                    | 451   
685   |     - Indirect sub-command[165](<6, 586>)                                    | 452   
686   |     - Indirect sub-command[166](<6, 631>)                                    | 453   
687   |     - Indirect sub-command[167](<6, 622>)                                    | 454   
688   |     - Indirect sub-command[168](<6, 648>)                                    | 455   
689   |     - Indirect sub-command[169](<6, 540>)                                    | 456   
690   |     - Indirect sub-command[170](<6, 670>)                                    | 457   
691   |     - Indirect sub-command[171](<6, 484>)                                    | 458   
692   |     - Indirect sub-command[172](<6, 629>)                                    | 459   
693   |     - Indirect sub-command[173](<6, 201>)                                    | 460   
694   |     - Indirect sub-command[174](<6, 702>)                                    | 461   
695   |     - Indirect sub-command[175](<6, 549>)                                    | 462   
696   |     - Indirect sub-command[176](<6, 669>)                                    | 463   
697   |     - Indirect sub-command[177](<6, 148>)                                    | 464   
698   |     - Indirect sub-command[178](<6, 493>)                                    | 465   
699   |     - Indirect sub-command[179](<6, 693>)                                    | 466   
700   |     - Indirect sub-command[180](<6, 216>)                                    | 467   
701   |     - Indirect sub-command[181](<6, 540>)                                    | 468   
702   |     - Indirect sub-command[182](<6, 681>)                                    | 469   
703   |     - Indirect sub-command[183](<6, 149>)                                    | 470   
704   |     - Indirect sub-command[184](<6, 598>)                                    | 471   
705   |     - Indirect sub-command[185](<6, 600>)                                    | 472   
706   |     - Indirect sub-command[186](<6, 656>)                                    | 473   
707   |     - Indirect sub-command[187](<6, 586>)                                    | 474   
708   |     - Indirect sub-command[188](<6, 630>)                                    | 475   
709   |     - Indirect sub-command[189](<6, 537>)                                    | 476   
710   |     - Indirect sub-command[190](<6, 619>)                                    | 477   
711   |     - Indirect sub-command[191](<6, 120>)                                    | 478   
712   |     - Indirect sub-command[192](<6, 628>)                                    | 479   
713   |     - Indirect sub-command[193](<6, 594>)                                    | 480   
714   |     - Indirect sub-command[194](<6, 644>)                                    | 481   
715   |     - Indirect sub-command[195](<6, 578>)                                    | 482   
716   |     - Indirect sub-command[196](<6, 657>)                                    | 483   
717   |     - Indirect sub-command[197](<6, 145>)                                    | 484   
718   |     - Indirect sub-command[198](<6, 488>)                                    | 485   
719   |     - Indirect sub-command[199](<6, 643>)                                    | 486   
720   |     - Indirect sub-command[200](<6, 182>)                                    | 487   
721   |     - Indirect sub-command[201](<6, 537>)                                    | 488   
722   |     - Indirect sub-command[202](<6, 650>)                                    | 489   
723   |     - Indirect sub-command[203](<6, 120>)                                    | 490   
724   |     - Indirect sub-command[204](<6, 685>)                                    | 491   
725   |     - Indirect sub-command[205](<6, 554>)                                    | 492   
726   |     - Indirect sub-command[206](<6, 690>)                                    | 493   
727   |     - Indirect sub-command[207](<6, 139>)                                    | 494   
728   |     - Indirect sub-command[208](<6, 491>)                                    | 495   
729   |     - Indirect sub-command[209](<6, 649>)                                    | 496   
730   |     - Indirect sub-command[210](<6, 119>)                                    | 497   
731   |     - Indirect sub-command[211](<6, 647>)                                    | 498   
735   |   - vkCmdDrawIndexedIndirect(212)                                            | 499-710
736   |    \- Indirect sub-command[0](<6, 550>)                                      | 499   
737   |     - Indirect sub-command[1](<6, 534>)                                      | 500   
738   |     - Indirect sub-command[2](<6, 499>)                                      | 501   
739   |     - Indirect sub-command[3](<6, 475>)                                      | 502   
740   |     - Indirect sub-command[4](<6, 547>)                                      | 503   
741   |     - Indirect sub-command[5](<6, 570>)                                      | 504   
742   |     - Indirect sub-command[6](<6, 523>)                                      | 505   
743   |     - Indirect sub-command[7](<6, 548>)                                      | 506   
744   |     - Indirect sub-command[8](<6, 504>)                                      | 507   
745   |     - Indirect sub-command[9](<6, 504>)                                      | 508   
746   |     - Indirect sub-command[10](<6, 536>)                                     | 509   
747   |     - Indirect sub-command[11](<6, 516>)                                     | 510   
748   |     - Indirect sub-command[12](<6, 552>)                                     | 511   
749   |     - Indirect sub-command[13](<6, 516>)                                     | 512   
750   |     - Indirect sub-command[14](<6, 467>)                                     | 513   
751   |     - Indirect sub-command[15](<6, 547>)                                     | 514   
752   |     - Indirect sub-command[16](<6, 553>)                                     | 515   
753   |     - Indirect sub-command[17](<6, 537>)                                     | 516   
754   |     - Indirect sub-command[18](<6, 476>)                                     | 517   
755   |     - Indirect sub-command[19](<6, 518>)                                     | 518   
756   |     - Indirect sub-command[20](<6, 565>)                                     | 519   
757   |     - Indirect sub-command[21](<6, 449>)                                     | 520   
758   |     - Indirect sub-command[22](<6, 538>)                                     | 521   
759   |     - Indirect sub-command[23](<6, 470>)                                     | 522   
760   |     - Indirect sub-command[24](<6, 485>)                                     | 523   
761   |     - Indirect sub-command[25](<6, 590>)                                     | 524   
762   |     - Indirect sub-command[26](<6, 597>)                                     | 525   
763   |     - Indirect sub-command[27](<6, 534>)                                     | 526   
764   |     - Indirect sub-command[28](<6, 578>)                                     | 527   
765   |     - Indirect sub-command[29](<6, 425>)                                     | 528   
766   |     - Indirect sub-command[30](<6, 445>)                                     | 529   
767   |     - Indirect sub-command[31](<6, 530>)                                     | 530   
768   |     - Indirect sub-command[32](<6, 413>)                                     | 531   
769   |     - Indirect sub-command[33](<6, 599>)                                     | 532   
770   |     - Indirect sub-command[34](<6, 577>)                                     | 533   
771   |     - Indirect sub-command[35](<6, 521>)                                     | 534   
772   |     - Indirect sub-command[36](<6, 544>)                                     | 535   
773   |     - Indirect sub-command[37](<6, 620>)                                     | 536   
774   |     - Indirect sub-command[38](<6, 392>)                                     | 537   
775   |     - Indirect sub-command[39](<6, 501>)                                     | 538   
776   |     - Indirect sub-command[40](<6, 443>)                                     | 539   
777   |     - Indirect sub-command[41](<6, 480>)                                     | 540   
778   |     - Indirect sub-command[42](<6, 596>)                                     | 541   
779   |     - Indirect sub-command[43](<6, 461>)                                     | 542   
780   |     - Indirect sub-command[44](<6, 610>)                                     | 543   
781   |     - Indirect sub-command[45](<6, 538>)                                     | 544   
782   |     - Indirect sub-command[46](<6, 570>)                                     | 545   
783   |     - Indirect sub-command[47](<6, 434>)                                     | 546   
784   |     - Indirect sub-command[48](<6, 499>)                                     | 547   
785   |     - Indirect sub-command[49](<6, 607>)                                     | 548   
786   |     - Indirect sub-command[50](<6, 415>)                                     | 549   
787   |     - Indirect sub-command[51](<6, 523>)                                     | 550   
788   |     - Indirect sub-command[52](<6, 608>)                                     | 551   
789   |     - Indirect sub-command[53](<6, 382>)                                     | 552   
790   |     - Indirect sub-command[54](<6, 491>)                                     | 553   
791   |     - Indirect sub-command[55](<6, 651>)                                     | 554   
792   |     - Indirect sub-command[56](<6, 389>)                                     | 555   
793   |     - Indirect sub-command[57](<6, 508>)                                     | 556   
794   |     - Indirect sub-command[58](<6, 420>)                                     | 557   
795   |     - Indirect sub-command[59](<6, 565>)                                     | 558   
796   |     - Indirect sub-command[60](<6, 567>)                                     | 559   
797   |     - Indirect sub-command[61](<6, 645>)                                     | 560   
798   |     - Indirect sub-command[62](<6, 501>)                                     | 561   
799   |     - Indirect sub-command[63](<6, 629>)                                     | 562   
800   |     - Indirect sub-command[64](<6, 398>)                                     | 563   
801   |     - Indirect sub-command[65](<6, 513>)                                     | 564   
802   |     - Indirect sub-command[66](<6, 634>)                                     | 565   
803   |     - Indirect sub-command[67](<6, 427>)                                     | 566   
804   |     - Indirect sub-command[68](<6, 507>)                                     | 567   
805   |     - Indirect sub-command[69](<6, 578>)                                     | 568   
806   |     - Indirect sub-command[70](<6, 479>)                                     | 569   
807   |     - Indirect sub-command[71](<6, 390>)                                     | 570   
808   |     - Indirect sub-command[72](<6, 490>)                                     | 571   
809   |     - Indirect sub-command[73](<6, 631>)                                     | 572   
810   |     - Indirect sub-command[74](<6, 384>)                                     | 573   
811   |     - Indirect sub-command[75](<6, 581>)                                     | 574   
812   |     - Indirect sub-command[76](<6, 560>)                                     | 575   
813   |     - Indirect sub-command[77](<6, 571>)                                     | 576   
814   |     - Indirect sub-command[78](<6, 548>)                                     | 577   
815   |     - Indirect sub-command[79](<6, 568>)                                     | 578   
816   |     - Indirect sub-command[80](<6, 413>)                                     | 579   
817   |     - Indirect sub-command[81](<6, 386>)                                     | 580   
818   |     - Indirect sub-command[82](<6, 506>)                                     | 581   
819   |     - Indirect sub-command[83](<6, 367>)                                     | 582   
820   |     - Indirect sub-command[84](<6, 499>)                                     | 583   
821   |     - Indirect sub-command[85](<6, 601>)                                     | 584   
822   |     - Indirect sub-command[86](<6, 479>)                                     | 585   
823   |     - Indirect sub-command[87](<6, 610>)                                     | 586   
824   |     - Indirect sub-command[88](<6, 330>)                                     | 587   
825   |     - Indirect sub-command[89](<6, 422>)                                     | 588   
826   |     - Indirect sub-command[90](<6, 562>)                                     | 589   
827   |     - Indirect sub-command[91](<6, 450>)                                     | 590   
828   |     - Indirect sub-command[92](<6, 391>)                                     | 591   
829   |     - Indirect sub-command[93](<6, 580>)                                     | 592   
830   |     - Indirect sub-command[94](<6, 674>)                                     | 593   
831   |     - Indirect sub-command[95](<6, 588>)                                     | 594   
832   |     - Indirect sub-command[96](<6, 605>)                                     | 595   
833   |     - Indirect sub-command[97](<6, 462>)                                     | 596   
834   |     - Indirect sub-command[98](<6, 339>)                                     | 597   
835   |     - Indirect sub-command[99](<6, 559>)                                     | 598   
836   |     - Indirect sub-command[100](<6, 601>)                                    | 599   
837   |     - Indirect sub-command[101](<6, 413>)                                    | 600   
838   |     - Indirect sub-command[102](<6, 397>)                                    | 601   
839   |     - Indirect sub-command[103](<6, 541>)                                    | 602   
840   |     - Indirect sub-command[104](<6, 642>)                                    | 603   
841   |     - Indirect sub-command[105](<6, 287>)                                    | 604   
842   |     - Indirect sub-command[106](<6, 445>)                                    | 605   
843   |     - Indirect sub-command[107](<6, 295>)                                    | 606   
844   |     - Indirect sub-command[108](<6, 582>)                                    | 607   
845   |     - Indirect sub-command[109](<6, 574>)                                    | 608   
846   |     - Indirect sub-command[110](<6, 622>)                                    | 609   
847   |     - Indirect sub-command[111](<6, 569>)                                    | 610   
848   |     - Indirect sub-command[112](<6, 605>)                                    | 611   
849   |     - Indirect sub-command[113](<6, 476>)                                    | 612   
850   |     - Indirect sub-command[114](<6, 310>)                                    | 613   
851   |     - Indirect sub-command[115](<6, 564>)                                    | 614   
852   |     - Indirect sub-command[116](<6, 616>)                                    | 615   
853   |     - Indirect sub-command[117](<6, 418>)                                    | 616   
854   |     - Indirect sub-command[118](<6, 331>)                                    | 617   
855   |     - Indirect sub-command[119](<6, 485>)                                    | 618   
856   |     - Indirect sub-command[120](<6, 303>)                                    | 619   
857   |     - Indirect sub-command[121](<6, 507>)                                    | 620   
858   |     - Indirect sub-command[122](<6, 639>)                                    | 621   
859   |     - Indirect sub-command[123](<6, 261>)                                    | 622   
860   |     - Indirect sub-command[124](<6, 602>)                                    | 623   
861   |     - Indirect sub-command[125](<6, 538>)                                    | 624   
862   |     - Indirect sub-command[126](<6, 616>)                                    | 625   
863   |     - Indirect sub-command[127](<6, 518>)                                    | 626   
864   |     - Indirect sub-command[128](<6, 286>)                                    | 627   
865   |     - Indirect sub-command[129](<6, 588>)                                    | 628   
866   |     - Indirect sub-command[130](<6, 586>)                                    | 629   
867   |     - Indirect sub-command[131](<6, 457>)                                    | 630   
868   |     - Indirect sub-command[132](<6, 283>)                                    | 631   
869   |     - Indirect sub-command[133](<6, 554>)                                    | 632   
870   |     - Indirect sub-command[134](<6, 643>)                                    | 633   
871   |     - Indirect sub-command[135](<6, 486>)                                    | 634   
872   |     - Indirect sub-command[136](<6, 299>)                                    | 635   
873   |     - Indirect sub-command[137](<6, 546>)                                    | 636   
874   |     - Indirect sub-command[138](<6, 619>)                                    | 637   
875   |     - Indirect sub-command[139](<6, 246>)                                    | 638   
876   |     - Indirect sub-command[140](<6, 575>)                                    | 639   
877   |     - Indirect sub-command[141](<6, 511>)                                    | 640   
878   |     - Indirect sub-command[142](<6, 627>)                                    | 641   
879   |     - Indirect sub-command[143](<6, 655>)                                    | 642   
880   |     - Indirect sub-command[144](<6, 615>)                                    | 643   
881   |     - Indirect sub-command[145](<6, 239>)                                    | 644   
882   |     - Indirect sub-command[146](<6, 440>)                                    | 645   
883   |     - Indirect sub-command[147](<6, 291>)                                    | 646   
884   |     - Indirect sub-command[148](<6, 596>)                                    | 647   
885   |     - Indirect sub-command[149](<6, 632>)                                    | 648   
886   |     - Indirect sub-command[150](<6, 589>)                                    | 649   
887   |     - Indirect sub-command[151](<6, 602>)                                    | 650   
888   |     - Indirect sub-command[152](<6, 453>)                                    | 651   
889   |     - Indirect sub-command[153](<6, 684>)                                    | 652   
890   |     - Indirect sub-command[154](<6, 218>)                                    | 653   
891   |     - Indirect sub-command[155](<6, 503>)                                    | 654   
892   |     - Indirect sub-command[156](<6, 629>)                                    | 655   
893   |     - Indirect sub-command[157](<6, 168>)                                    | 656   
894   |     - Indirect sub-command[158](<6, 483>)                                    | 657   
895   |     - Indirect sub-command[159](<6, 655>)                                    | 658   
896   |     - Indirect sub-command[160](<6, 251>)                                    | 659   
897   |     - Indirect sub-command[161](<6, 532>)                                    | 660   
898   |     - Indirect sub-command[162](<6, 685>)                                    | 661   
899   |     - Indirect sub-command[163](<6, 195>)                                    | 662   
900   |     - Indirect sub-command[164](<6, 623>)                                    | 663   
901   |     - Indirect sub-command[165](<6, 586>)                                    | 664   
902   |     - Indirect sub-command[166](<6, 631>)                                    | 665   
903   |     - Indirect sub-command[167](<6, 622>)                                    | 666   
904   |     - Indirect sub-command[168](<6, 648>)                                    | 667   
905   |     - Indirect sub-command[169](<6, 540>)                                    | 668   
906   |     - Indirect sub-command[170](<6, 670>)                                    | 669   
907   |     - Indirect sub-command[171](<6, 484>)                                    | 670   
908   |     - Indirect sub-command[172](<6, 629>)                                    | 671   
909   |     - Indirect sub-command[173](<6, 201>)                                    | 672   
910   |     - Indirect sub-command[174](<6, 702>)                                    | 673   
911   |     - Indirect sub-command[175](<6, 549>)                                    | 674   
912   |     - Indirect sub-command[176](<6, 669>)                                    | 675   
913   |     - Indirect sub-command[177](<6, 148>)                                    | 676   
914   |     - Indirect sub-command[178](<6, 493>)                                    | 677   
915   |     - Indirect sub-command[179](<6, 693>)                                    | 678   
916   |     - Indirect sub-command[180](<6, 216>)                                    | 679   
917   |     - Indirect sub-command[181](<6, 540>)                                    | 680   
918   |     - Indirect sub-command[182](<6, 681>)                                    | 681   
919   |     - Indirect sub-command[183](<6, 149>)                                    | 682   
920   |     - Indirect sub-command[184](<6, 598>)                                    | 683   
921   |     - Indirect sub-command[185](<6, 600>)                                    | 684   
922   |     - Indirect sub-command[186](<6, 656>)                                    | 685   
923   |     - Indirect sub-command[187](<6, 586>)                                    | 686   
924   |     - Indirect sub-command[188](<6, 630>)                                    | 687   
925   |     - Indirect sub-command[189](<6, 537>)                                    | 688   
926   |     - Indirect sub-command[190](<6, 619>)                                    | 689   
927   |     - Indirect sub-command[191](<6, 120>)                                    | 690   
928   |     - Indirect sub-command[192](<6, 628>)                                    | 691   
929   |     - Indirect sub-command[193](<6, 594>)                                    | 692   
930   |     - Indirect sub-command[194](<6, 644>)                                    | 693   
931   |     - Indirect sub-command[195](<6, 578>)                                    | 694   
932   |     - Indirect sub-command[196](<6, 657>)                                    | 695   
933   |     - Indirect sub-command[197](<6, 145>)                                    | 696   
934   |     - Indirect sub-command[198](<6, 488>)                                    | 697   
935   |     - Indirect sub-command[199](<6, 643>)                                    | 698   
936   |     - Indirect sub-command[200](<6, 182>)                                    | 699   
937   |     - Indirect sub-command[201](<6, 537>)                                    | 700   
938   |     - Indirect sub-command[202](<6, 650>)                                    | 701   
939   |     - Indirect sub-command[203](<6, 120>)                                    | 702   
940   |     - Indirect sub-command[204](<6, 685>)                                    | 703   
941   |     - Indirect sub-command[205](<6, 554>)                                    | 704   
942   |     - Indirect sub-command[206](<6, 690>)                                    | 705   
943   |     - Indirect sub-command[207](<6, 139>)                                    | 706   
944   |     - Indirect sub-command[208](<6, 491>)                                    | 707   
945   |     - Indirect sub-command[209](<6, 649>)                                    | 708   
946   |     - Indirect sub-command[210](<6, 119>)                                    | 709   
947   |     - Indirect sub-command[211](<6, 647>)                                    | 710   
954   |   - vkCmdDrawIndexedIndirect(1) => <4608, 9>                                 | 711   
955   |   - vkCmdEndRenderPass(C=Store, D=Store, S=Don't Care)                       | 712   
1069  | - Colour Pass #2 (1 Targets)                                                 | 712-716
959   |  \- vkCmdBeginRenderPass(Load)                                               | 712   
969   |   - vkCmdDraw(6, 1)                                                          | 712   
972   |   - vkCmdDraw(6, 1)                                                          | 713   
975   |   - vkCmdDraw(6, 1)                                                          | 714   
978   |   - vkCmdDraw(3, 1)                                                          | 715   
979   |   - vkCmdEndRenderPass(Store)                                                | 716   
1070  | - Compute Pass #2                                                            | 716-718
984   |  \- vkCmdDispatch(1, 1, 1)                                                   | 716   
989   |   - vkCmdDispatch(119, 1, 1)                                                 | 717   
995   |   - vkCmdDispatch(1, 1, 1)                                                   | 718   
1071  | - Colour Pass #3 (1 Targets)                                                 | 719-720
999   |  \- vkCmdBeginRenderPass(Don't Care)                                         | 719   
1008  |   - vkCmdDraw(3, 1)                                                          | 719   
1009  |   - vkCmdEndRenderPass(Store)                                                | 720   
1072  | - Colour Pass #4 (1 Targets + Depth)                                         | 720-723
1013  |  \- vkCmdBeginRenderPass(C=Load, DS=Load)                                    | 720   
1023  |   - vkCmdDraw(3, 2)                                                          | 720   
1027  |   - vkCmdDraw(6, 1)                                                          | 721   
1033  |   - vkCmdDrawIndexedIndirect(1) => <6, 1>                                    | 722   
1034  |   - vkCmdEndRenderPass(C=Store, D=Store, S=Don't Care)                       | 723   
1073  | - Colour Pass #5 (1 Targets)                                                 | 723-727
1039  |  \- vkCmdBeginRenderPass(Clear)                                              | 723   
1051  |   - vkCmdDrawIndexed(516, 1)                                                 | 723   
1053  |   - vkCmdDrawIndexed(6507, 1)                                                | 724   
1056  |   - vkCmdDrawIndexed(6, 1)                                                   | 725   
1059  |   - vkCmdDrawIndexed(180, 1)                                                 | 726   
1061  |   - vkCmdEndRenderPass(Store)                                                | 727   
1064  | - => vkQueueSubmit(1)[0]: vkEndCommandBuffer(Baked Command Buffer 15743)     | 727   
1065  | - vkQueuePresentKHR(Swapchain Image 184)                                     | 727   
